Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Note
AMT,Common Stock,American Tower Corporation (REIT),"American Tower Corporation (also referred to as American Tower or ATC) is an American real estate investment trust and an owner and operator of wireless and broadcast communications infrastructure in several countries worldwide and is headquartered in Boston, Massachusetts.",1053507,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"116 HUNTINGTON AVE, BOSTON, MA, US",December,44651,1.08116E+11,5888400000,41.86,3.274,11.15,5.21,0.0232,5.66,20.72,0.274,0.38,0.038,0.371,9356900000,6674900000,5.66,0.201,0.152,291.78,41.86,52.36,11.55,20.51,16.26,25.02,0.478,299.22,218.83,245.35,266.32,456283000,44680,44663,
ANET,Common Stock,Arista Networks Inc,"Arista Networks (formerly Arastra) is an American computer networking company headquartered in Santa Clara, California. The company designs and sells multilayer network switches to deliver software-defined networking (SDN) solutions for large datacenter, cloud computing, high-performance computing, and high-frequency trading environments.",1596532,NYSE,USD,USA,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,"5453 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",December,44561,35514663000,975073000,43.94,1.701,12.93,0,0,2.63,9.62,0.285,0.314,0.11,0.23,2948037000,1880779000,2.63,0.284,0.271,151.18,43.94,32.05,12.05,8.95,10.95,33.09,1.223,148.57,77.3,126.49,114.76,307300000,None,None,
CSR,Common Stock,Centerspace,"IRET is a real estate company focused on the ownership, management, acquisition, remodeling and development of apartment communities. ",798359,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1400 31ST AVENUE SW, SUITE 60, PO BOX 1988, MINOT, ND, US",December,44651,1477780000,97836000,None,None,45.19,2.84,0.0316,-0.47,14.61,0.003,0.0234,0.0017,-0.0025,201705000,112296000,-0.47,-0.455,0.273,111.44,-,-,7.33,2.088,11.7,19.27,0.995,111.02,65.84,98.02,99.06,15355500,44662,44650,
DAR,Common Stock,Darling Ingredients Inc,"Darling Ingredients Inc. develops, produces and sells natural ingredients from edible and non-edible bio-nutrients. The company is headquartered in Irving, Texas.",916540,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"5601 N MACARTHUR BLVD, IRVING, TX, US",December,44561,11857990000,850454000,18.82,14.47,20.41,0,0,3.9,29.19,0.137,0.113,0.0568,0.209,4741369000,1241984000,3.9,2.468,0.285,96.86,18.82,14.12,2.501,3.614,2.829,11.18,1.106,87.44,58.7,76.02,72.23,161575000,None,None,
DE,Common Stock,Deere & Company,"John Deere is the brand name of Deere & Company, an American corporation that manufactures agricultural, construction, and forestry machinery, diesel engines, drivetrains (axles, transmissions, gearboxes) used in heavy equipment, and lawn care equipment.",315189,NYSE,USD,USA,TECHNOLOGY,FARM MACHINERY & EQUIPMENT,"ONE JOHN DEERE PLACE, MOLINE, IL, US",October,44592,1.16955E+11,8246000000,21.1,1.56,58.03,3.9,0.0111,18.07,143.23,0.127,0.166,0.0593,0.354,44413002000,12188000000,18.07,-0.245,0.05,438.45,21.1,16.64,2.633,6.51,3.586,17.32,1.011,446.76,318.34,398.62,369.36,306784000,44690,44650,
DHR,Common Stock,Danaher Corporation,"Danaher Corporation is an American globally diversified conglomerate with its headquarters in Washington, D.C.. The company designs, manufactures, and markets professional, medical, industrial, and commercial products and services. The company's 3 platforms are Life Sciences, Diagnostics, and Environmental & Applied Solutions.",313616,NYSE,USD,USA,LIFE SCIENCES,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL","2200 PENNSYLVANIA AVE. N.W., SUITE 800W, WASHINGTON, DC, US",December,44651,1.82591E+11,10336000000,29.15,3.909,58.6,0.84,0.004,8.61,41.22,0.218,0.277,0.0641,0.149,29453001000,18056000000,8.61,0.444,0.205,329.74,29.15,24.1,6.2,4.238,6.73,20.23,0.78,333.22,237.61,276.8,299.05,727077000,44680,44644,
DOV,Common Stock,Dover Corporation,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois.",29905,NYSE,USD,USA,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP","3005 HIGHLAND PARKWAY, SUITE 200, DOWNERS GROVE, IL, US",December,44651,19216929000,1601027000,17.22,1.193,29.09,1.99,0.015,7.74,54.94,0.142,0.166,0.0838,0.297,7907081000,2982681000,7.74,0.995,0.117,176.27,17.22,15.55,2.43,4.438,2.722,12.31,1.382,183.45,131.03,152.57,165.28,144163000,44635,44617,
EBAY,Common Stock,eBay Inc,"eBay Inc. is an American multinational e-commerce corporation based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.",1065088,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2025 HAMILTON AVENUE, SAN JOSE, CA, US",December,44561,30151252000,3460000000,2.59,4.248,16.46,0.72,0.0164,20.52,15.98,1.306,0.284,0.0805,0.0378,10420000000,7770000000,20.52,1.698,0.054,66.42,2.59,12.92,2.894,3.012,3.028,26.99,1.154,80.65,49.33,54.91,65.75,567286000,44638,44629,
ETN,Common Stock,Eaton Corporation plc,"Eaton Corporation plc is an American Irish-domiciled multinational power management company with 2020 sales of 17.86 billion USD, founded in the United States with corporate headquarters in Dublin, Ireland, and operational headquarters in Beachwood, Ohio.",1551182,NYSE,USD,USA,TECHNOLOGY,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,"30 PEMBROKE ROAD, EATON HOUSE, DUBLIN, IE",December,44561,58537001000,3442000000,27.43,2.165,41.16,3.04,0.0223,5.34,49.23,0.109,0.128,0.0478,0.137,19627999000,6335000000,5.34,0.159,0.024,175.3,27.43,19.34,2.982,3.53,3.377,16.73,1.198,174.77,137.13,149.23,159.61,399570000,44708,44693,
EXPO,Common Stock,Exponent Inc,"Exponent, Inc., is a global science and engineering consulting company. The company is headquartered in Menlo Park, California.",851520,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-MANAGEMENT CONSULTING SERVICES,"EXPONENT INC, 149 COMMONWEALTH DRIVE, MENLO PARK, CA, US",January,44681,4857757000,115414000,49.34,3.14,8,0.8,0.01,1.9,8.27,0.233,0.251,0.108,0.26,434850000,156803000,1.9,-0.073,0.072,127.5,49.34,51.02,11.17,11.9,10.04,40.57,0.524,127.07,83.28,101,108.16,51822000,44736,44630,
FB,Common Stock,Meta Platforms Inc.,"Facebook, Inc., is an American multinational technology conglomerate based in Menlo Park, California. It is one of the world's most valuable companies. It is considered one of the Big Five companies in U.S. information technology, with Google, Apple, Microsoft and Amazon. Facebook offers other products and services beyond its social networking platform, including Facebook Messenger, Facebook Watch, and Facebook Portal. It also has acquired Instagram, WhatsApp, Oculus, Giphy and Mapillary, and has a 9.9% stake in Jio Platforms.",1326801,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1601 WILLOW ROAD, MENLO PARK, CA, US",December,44651,5.42536E+11,54720000000,14.56,1.175,44.3,0,0,13.77,41.89,0.334,0.397,0.18,0.311,1.17929E+11,95280000000,13.77,-0.052,0.199,303.87,14.56,16.08,4.601,4.416,4.298,9.88,1.394,384.33,169,207.5,302.26,2301670000,None,None,
FIVE,Common Stock,Five Below Inc,"Five Below, Inc. is a specialty value retailer in the United States. The company is headquartered in Philadelphia, Pennsylvania.",1177609,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"1818 MARKET STREET, SUITE 1900, PHILADELPHIA, PA, US",January,44592,9057411000,442936000,34.86,0.901,18.44,0,0,4.662,48.56,0.0969,0.134,0.0905,0.294,2710536000,652330000,4.662,0.194,0.275,219.5,34.86,28.25,3.342,7.81,3.409,20.9,1.389,237.86,143.44,164.3,185.74,55724000,None,None,
FLEX,Common Stock,Flex Ltd,"Flex Ltd. provides design, engineering, manufacturing and supply chain services and solutions to OEMs in Asia, the Americas and Europe. The company is headquartered in Singapore.",866374,NASDAQ,USD,USA,MANUFACTURING,PRINTED CIRCUIT BOARDS,"2 CHANGI SOUTH LANE, SINGAPORE, SG",March,44561,7652778000,1539800000,8.06,0.97,7.83,0,0,2.047,52.51,0.0396,0.0444,0.0417,0.287,25456001000,1775000000,2.047,0.171,-0.015,23.71,8.06,8.59,0.301,2.094,0.396,6.32,1.529,19.5,14.88,16.82,17.55,464086000,None,None,
LIN,Common Stock,Linde plc,"Linde plc is a multinational chemical company. It is the largest industrial gas company by market share and revenue. It serves customers in the healthcare, petroleum refining, manufacturing, food, beverage carbonation, fiber-optics, steel making, aerospace, chemicals, electronics and water treatment industries. The company's primary business is the manufacturing and distribution of atmospheric gases, including oxygen, nitrogen, argon, rare gases, and process gases, including carbon dioxide, helium, hydrogen, electronic gases, specialty gases, and acetylene.",1707925,NYSE,USD,USA,LIFE SCIENCES,INDUSTRIAL INORGANIC CHEMICALS,"THE PRIESTLEY CENTRE, 10 PRIESTLEY RD, GUILDFORD, GB",December,44651,1.59071E+11,10136001000,42.74,2.995,86.57,4.24,0.0149,7.33,59.57,0.124,0.179,0.0405,0.0833,30793001000,13250000000,7.33,0.366,0.141,370.53,42.74,26.32,5.17,3.597,5.38,16.86,0.902,350.77,266.44,306.35,314.02,507745000,44729,44714,
LLY,Common Stock,Eli Lilly and Company,"Eli Lilly and Company is an American pharmaceutical company headquartered in Indianapolis, Indiana, with offices in 18 countries. Its products are sold in approximately 125 countries.",59478,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"LILLY CORPORATE CTR, DROP CODE 1112, INDIANAPOLIS, IN, US",December,44651,2.75762E+11,9725100000,47.31,1.847,9.94,3.4,0.0134,6.12,31.22,0.197,0.289,0.107,0.745,28318401000,21345300000,6.12,-0.183,0.075,304.28,47.31,34.01,9.74,30.98,9.93,38.82,0.43,314,185.37,280.05,258.05,952347000,44630,44606,
LRCX,Common Stock,Lam Research Corporation,"Lam Research Corporation is an American corporation that engages in the design, manufacture, marketing, and service of semiconductor processing equipment used in the fabrication of integrated circuits. Its products are used primarily in front-end wafer processing, which involves the steps that create the active components of semiconductor devices (transistors, capacitors) and their wiring (interconnects). The company also builds equipment for back-end wafer-level packaging (WLP), and for related manufacturing markets such as for microelectromechanical systems (MEMS). The company is headquartered in Fremont, California, in the Silicon Valley.",707549,NASDAQ,USD,USA,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC","4650 CUSHING BLVD, FREMONT, CA, US",June,44651,66488877000,5541036000,14.94,0.961,46.16,5.6,0.0129,32.08,116.42,0.278,0.316,0.204,0.766,16523902000,6805306000,32.08,0.416,0.223,655.96,14.94,12.45,4.024,10.72,3.899,11.54,1.247,729.51,449.5,512.02,592.35,138715000,44657,44635,
MA,Common Stock,Mastercard Incorporated,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",December,44651,3.66968E+11,10994000000,40.99,1.673,7.46,1.81,0.0054,8.76,19.11,0.46,0.544,0.18,1.247,18884000000,18884000000,8.76,0.355,0.266,433.94,40.99,35.46,19.43,48.34,18.07,29.76,1.077,399.37,305.18,351.22,355.23,969729000,44690,44658,
MAT,Common Stock,Mattel Inc,"Mattel, Inc., a children's entertainment company, designs and produces toys and consumer products worldwide. The company is headquartered in El Segundo, California.",63276,NASDAQ,USD,USA,MANUFACTURING,DOLLS & STUFFED TOYS,"333 CONTINENTAL BLVD, EL SEGUNDO, CA, US",December,44651,8709336000,932704000,9.77,1.262,4.473,0,0,2.53,15.59,0.166,0.137,0.0784,0.829,5457741000,2629547000,2.53,0.724,0.104,32.25,9.77,16.64,1.596,5.3,1.938,14.27,1.445,26.2,17.95,23.35,21.71,352462000,42993,42968,
MATX,Common Stock,Matson Inc,"Matson, Inc. provides logistics and shipping services. The company is headquartered in Honolulu, Hawaii.",3453,NYSE,USD,USA,ENERGY & TRANSPORTATION,WATER TRANSPORTATION,"1411 SAND ISLAND PARKWAY, HONOLULU, HI, US",December,44561,3610030000,1274500000,4.116,3.31,40.67,1.06,0.014,21.47,91.71,0.236,0.29,0.216,0.706,3925300000,1367700000,21.47,3.804,0.81,118,4.116,17.61,0.92,2.107,1.093,2.994,0.871,125.34,59,103.02,87.96,40851300,44714,44692,
STLA,Common Stock,Stellantis N.V,"Stellantis NV is dedicated to the design, engineering, manufacture, distribution and sale of passenger cars, trucks, SUVs and light commercial vehicles worldwide. The company is headquartered in Lijnden, the Netherlands.",1605484,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"25 ST. JAMES? STREET, LONDON, GB",December,44561,41979654000,19608001000,2.822,1.766,17.85,0,0.0844,4.748,48.84,0.095,0.106,0.0802,0.33,1.49419E+11,29476000000,4.748,2.482,1.739,25.52,2.822,3.041,0.281,0.71,0.155,1.116,1.678,20.36,12.74,15.68,18.64,3132810000,44680,44670,
STLD,Common Stock,Steel Dynamics Inc,"Steel Dynamics, Inc., is a steel producer and metal recycler in the United States. ",1022671,NASDAQ,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","7575 W JEFFERSON BLVD, FORT WAYNE, IN, US",December,44651,16251169000,4648758000,5.51,10.91,32.33,1.04,0.0159,15.56,89.75,0.175,0.234,0.247,0.609,18408849000,5362424000,15.56,5.24,1.042,98.75,5.51,4.702,0.883,2.333,0.888,3.295,1.417,100.37,50.34,80.27,67.05,189518000,44666,44650,
STM,Common Stock,STMicroelectronics N.V.,"STMicroelectronics NV designs, develops, manufactures and markets semiconductor products in Europe, the Middle East, Africa, the Americas and Asia Pacific. The company is headquartered in Geneva, Switzerland.",932787,NYSE,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"39 CHEMIN DU CHAMP DES FILLES, 1228 PLAN-LES-OUATES, GENEVA, CH",December,44651,33956954000,3433000000,16.95,1.219,10.16,0,0.0066,2.16,14.11,0.157,0.187,0.0995,0.226,12761000000,5320000000,2.16,0.299,0.099,57.5,16.95,11.36,2.661,3.39,2.489,8.56,1.266,52.01,33.97,40.27,44.27,903976000,44649,44729,
SUI,Common Stock,Sun Communities Inc,None,912593,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"27777 FRANKLIN ROAD, SUITE 200, SOUTHFIELD, MI, US",December,44651,21140163000,968017000,50.75,29.63,57.11,3.32,0.02,3.355,19.95,0.169,0.206,0.0235,0.067,2246470000,1137199000,3.355,0.525,0.406,215.9,50.75,76.34,9.41,3.264,11.59,24.76,0.68,210.76,157.23,180.28,191.79,121613000,44666,44650,
TEL,Common Stock,TE Connectivity Ltd,"TE Connectivity is an American Swiss-domiciled technology company that designs and manufactures connectors and sensors for several industries, such as automotive, industrial equipment, data communication systems, aerospace, defense, medical, oil and gas, consumer electronics and energy.",1385157,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC","RHEINSTRASSE 20, CH-8200 SCHAFFHAUSEN, CH",September,44651,40604176000,3572000000,17.09,1.891,33.78,1.98,0.018,7.36,46.26,0.161,0.183,0.0837,0.232,15219000000,4887000000,7.36,0.496,0.084,156.71,17.09,17.86,2.668,3.858,2.814,12.3,1.323,165.81,120.22,130.18,145.6,322819000,44988,44700,
THRM,Common Stock,Gentherm Incorporated,"Gentherm Incorporated designs, develops, manufactures and markets thermal management technologies. The company is headquartered in Northville, Michigan.",903129,NASDAQ,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21680 HAGGERTY ROAD, NORTHVILLE, MI, US",December,44561,2280407000,157425000,24.67,0.71,19.81,0,0,2.79,31.62,0.0893,0.114,0.0759,0.151,1046150000,303631000,2.79,-0.414,-0.141,91.75,24.67,22.08,2.18,3.416,2.014,13.56,1.244,99,61.15,72.69,81.54,33131000,None,None,
TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",December,44561,2.16434E+11,12820000000,28.41,6.79,103.42,1.04,0.0022,19.46,99.52,0.197,0.261,0.0779,0.205,39211000000,19638000000,19.46,-0.333,0.014,677.29,28.41,24.57,5.52,5.31,6.29,20.62,0.826,671.96,437.85,563.15,584.99,391439000,44665,44635,
TSCO,Common Stock,Tractor Supply Company,"Tractor Supply Company (TSCO) is an American retail chain of stores that offers products for home improvement, agriculture, lawn and garden maintenance, livestock, equine and pet care.",916365,NASDAQ,USD,USA,TRADE & SERVICES,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY","5401 VIRGINIA WAY, BRENTWOOD, TN, US",December,44651,23137964000,1640156000,23.96,2.242,17.7,2.08,0.0183,8.61,110.9,0.0783,0.108,0.116,0.508,12731105000,4477153000,8.61,0.674,0.153,244.88,23.96,21.41,1.817,12.62,2.014,16.23,0.983,241.54,169.25,221.06,213.42,112146000,44628,44609,
ALTR,Common Stock,Altair Engineering Inc,"Altair Engineering Inc. provides software and cloud solutions in the areas of simulation, high-performance computing, data analysis, and artificial intelligence globally. The company is headquartered in Troy, Michigan.",1701732,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1820 E. BIG BEAVER ROAD, TROY, MI, US",December,44561,4428618000,43036000,None,0,7.74,0,0,-0.12,6.99,-0.0165,0.0327,0.0109,-0.0177,532179000,403538000,-0.12,1.25,0.055,84.17,-,70.42,8.32,7.05,7.78,110.69,1.516,82.96,53.44,61.31,68.75,51907000,None,None,
APAM,Common Stock,Artisan Partners Asset Management Inc,"Artisan Partners Asset Management Inc. is a publicly owned investment manager. The company is headquartered in Milwaukee, Wisconsin with additional offices in Atlanta, Georgia; New York City; San Francisco, California; Leawood, Kansas; and London, United Kingdom.",1517302,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"875 E. WISCONSIN AVENUE, SUITE 800, MILWAUKEE, WI, US",December,44651,2261226000,547424000,6.59,1.38,4.141,3.98,0.12,5.09,20.5,0.274,0.44,0.286,1.285,1227236000,664700000,5.09,0.07,0.207,36.83,6.59,7.69,1.843,10.16,2.204,4.996,1.803,51.73,32.07,37.36,45.2,67399000,5/31/2022,5/16/2022,
